,name,city,state
469,Terrapin Brewing Company,Athens,Georgia
470,Pete's Brewing Company,San Antonio,Texas
471,Okoboji Brewing Company,Spirit Lake,Iowa
472,Crystal Springs Brewing Company,Boulder,Colorado
473,Engine House 9,Tacoma,Washington
474,Tonka Beer Company,Minnetonka,Minnesota
475,Red Hare Brewing Company,Marietta,Georgia
476,Hangar 24 Craft Brewery,Redlands,California
477,Big Elm Brewing,Sheffield,Massachusetts
478,Good People Brewing Company,Birmingham,Alabama
479,Heavy Seas Beer,Halethorpe,Maryland
480,Telluride Brewing Company,Telluride,Colorado
481,7 Seas Brewing Company,Gig Harbor,Washington
482,Confluence Brewing Company,Des Moines,Iowa
483,Bale Breaker Brewing Company,Yakima,Washington
484,The Manhattan Brewing Company,New York,New York
485,MacTarnahans Brewing Company,Portland,Oregon
486,Stillmank Beer Company,Green Bay,Wisconsin
487,Redhook Brewery,Woodinville,Washington
488,Dock Street Brewery,Philadelphia,Pennsylvania
489,Blue Point Brewing Company,Patchogue,New York
490,Tampa Bay Brewing Company,Tampa,Florida
491,Devil's Canyon Brewery,Belmont,California
492,Stone Coast Brewing Company,Portland,Maine
493,Broken Tooth Brewing Company,Anchorage,Alaska
494,Seven Brides Brewery,Silverton,Oregon
495,Newburyport Brewing Company,Newburyport,Massachusetts
496,Dry Dock Brewing Company,Aurora,Colorado
497,Cans Bar and Canteen,Charlotte,North Carolina
498,Sprecher Brewing Company,Glendale,Wisconsin
499,Wildwood Brewing Company,Stevensville,Montana
500,High Noon Saloon And Brewery,Leavenworth,Kansas
501,Woodchuck Hard Cider,Middlebury,Vermont
502,Sea Dog Brewing Company,Portland,Maine
503,Oskar Blues Brewery,Lyons,Colorado
504,Carolina Beer & Beverage,Mooresville,North Carolina
505,Krebs Brewing Company (Pete's Pl...,Krebs,Oklahoma
506,Warbird Brewing Company,Fort Wayne,Indiana
507,Mudshark Brewing Company,Lake Havasu City,Arizona
508,Spilker Ales,Cortland,Nebraska
509,Wingman Brewers,Tacoma,Washington
510,Kettle House Brewing Company,Missoula,Montana
511,Sherwood Forest Brewers,Marlborough,Massachusetts
512,Cottrell Brewing,Pawcatuck,Connecticut
513,Arctic Craft Brewery,Colorado Springs,Colorado
514,Monkey Paw Pub & Brewery,San Diego,California
515,Crabtree Brewing Company,Greeley,Colorado
516,Emerald City Beer Company,Seattle,Washington
517,Butcher's Brewing,Carlsbad,California
518,New South Brewing Company,Myrtle Beach,South Carolina
519,Big River Brewing Company,Chattanooga,Tennessee
520,Twisted Pine Brewing Company,Boulder,Colorado
521,Flying Dog Brewery,Frederick,Maryland
522,Uncommon Brewers,Santa Cruz,California
